NAMESPACE         NAME                                                      READY   STATUS    RESTARTS         AGE     IP                NODE        NOMINATED NODE   READINESS GATES
auth              keycloak-5d687c65cc-dkhq7                                 1/1     Running   21 (7h13m ago)   9h      192.168.117.196   core-node   <none>           <none>
auth              keycloak-postgres-64dd7479d5-5p222                        1/1     Running   0                9h      192.168.117.231   core-node   <none>           <none>
cert-manager      cert-manager-b5ffdd788-l2nlr                              1/1     Running   2 (76m ago)      9h      192.168.117.237   core-node   <none>           <none>
cert-manager      cert-manager-cainjector-85796596b4-7wxzf                  1/1     Running   25 (7h14m ago)   9h      192.168.117.250   core-node   <none>           <none>
cert-manager      cert-manager-webhook-78df589d59-jd6rn                     1/1     Running   0                9h      192.168.117.245   core-node   <none>           <none>
cicd              argocd-application-controller-0                           0/1     Running   0                9h      192.168.117.238   core-node   <none>           <none>
cicd              argocd-applicationset-controller-5df66b44b7-ll5n8         1/1     Running   0                9h      192.168.117.229   core-node   <none>           <none>
cicd              argocd-dex-server-c8bfff5c7-zcdvv                         1/1     Running   0                9h      192.168.117.230   core-node   <none>           <none>
cicd              argocd-notifications-controller-986b88b6-fx2q2            1/1     Running   0                9h      192.168.117.219   core-node   <none>           <none>
cicd              argocd-redis-846cfbc8d9-r5gzw                             1/1     Running   0                9h      192.168.117.227   core-node   <none>           <none>
cicd              argocd-repo-server-54c58469b-lptkh                        1/1     Running   0                9h      192.168.117.255   core-node   <none>           <none>
cicd              argocd-server-75485b4cfc-b9p5g                            0/1     Running   4 (3s ago)       2m44s   192.168.1.10      core-node   <none>           <none>
cicd              harbor-core-58b54c68ff-wx426                              1/1     Running   23 (7h10m ago)   9h      192.168.117.241   core-node   <none>           <none>
cicd              harbor-database-0                                         1/1     Running   0                7h8m    192.168.117.166   core-node   <none>           <none>
cicd              harbor-jobservice-55cdd89d4b-lx6vl                        1/1     Running   2 (7h5m ago)     7h8m    192.168.117.174   core-node   <none>           <none>
cicd              harbor-portal-65685dc68-b78km                             1/1     Running   0                9h      192.168.117.204   core-node   <none>           <none>
cicd              harbor-redis-0                                            1/1     Running   0                7h8m    192.168.117.129   core-node   <none>           <none>
cicd              harbor-registry-684cc4c6bb-95z82                          2/2     Running   0                7h8m    192.168.117.172   core-node   <none>           <none>
cicd              harbor-trivy-0                                            1/1     Running   0                7h8m    192.168.117.131   core-node   <none>           <none>
istio-system      istio-ingressgateway-5db55d86c5-5wvfg                     1/1     Running   0                9h      192.168.117.200   core-node   <none>           <none>
istio-system      istiod-77fc5db7bb-nq9bj                                   1/1     Running   0                9h      192.168.117.239   core-node   <none>           <none>
kafka             kafka-broker-0                                            1/1     Running   0                7h8m    192.168.117.136   core-node   <none>           <none>
kafka             schema-registry-7d64d4b94f-r5x7r                          1/1     Running   0                9h      192.168.117.195   core-node   <none>           <none>
