NAMESPACE         NAME                                                  DESIRED   CURRENT   READY   AGE
auth              keycloak-5d687c65cc                                   1         1         1       12d
auth              keycloak-postgres-64dd7479d5                          1         1         1       12d
cert-manager      cert-manager-b5ffdd788                                1         1         1       12d
cert-manager      cert-manager-cainjector-85796596b4                    1         1         1       12d
cert-manager      cert-manager-webhook-78df589d59                       1         1         1       12d
cicd              argocd-applicationset-controller-5df66b44b7           1         1         1       2d22h
cicd              argocd-dex-server-c8bfff5c7                           1         1         1       2d22h
cicd              argocd-notifications-controller-986b88b6              1         1         1       2d22h
cicd              argocd-redis-846cfbc8d9                               1         1         1       2d22h
cicd              argocd-repo-server-54c58469b                          1         1         1       2d22h
cicd              argocd-server-75485b4cfc                              1         1         0       3m12s
cicd              harbor-core-5885ccc6bc                                0         0         0       3d22h
cicd              harbor-core-58b54c68ff                                1         1         1       2d22h
cicd              harbor-core-5b945b6b7b                                0         0         0       3d
cicd              harbor-core-79f967698f                                0         0         0       3d2h
cicd              harbor-core-864577db58                                0         0         0       3d2h
cicd              harbor-core-df6798668                                 0         0         0       2d22h
cicd              harbor-jobservice-55cdd89d4b                          1         1         1       2d22h
cicd              harbor-jobservice-5c4bd79788                          0         0         0       3d22h
cicd              harbor-jobservice-6496f68b5                           0         0         0       3d2h
cicd              harbor-jobservice-76f66f8755                          0         0         0       3d2h
cicd              harbor-jobservice-7ddb557bb5                          0         0         0       2d22h
cicd              harbor-jobservice-7fd8554566                          0         0         0       3d
cicd              harbor-portal-65685dc68                               1         1         1       3d22h
cicd              harbor-registry-684cc4c6bb                            1         1         1       2d22h
cicd              harbor-registry-778946467f                            0         0         0       3d
cicd              harbor-registry-84c957d76b                            0         0         0       2d22h
cicd              harbor-registry-856d85d87f                            0         0         0       3d2h
cicd              harbor-registry-c95f6dddd                             0         0         0       3d22h
cicd              harbor-registry-dfb6bb7fc                             0         0         0       3d2h
istio-system      istio-ingressgateway-5db55d86c5                       1         1         1       12d
istio-system      istiod-77fc5db7bb                                     1         1         1       12d
kafka             schema-registry-64c796755d                            0         0         0       11d
kafka             schema-registry-655b98dd67                            0         0         0       11d
kafka             schema-registry-7d64d4b94f                            1         1         1       11d
kafka             schema-registry-9dbc589f7                             0         0         0       11d
kube-system       calico-kube-controllers-5bf9988bc5                    0         0         0       2d14h
kube-system       calico-kube-controllers-5fc7d6cf67                    0         0         0       13d
kube-system       calico-kube-controllers-5ffb4969b6                    1         1         1       8h
kube-system       calico-kube-controllers-6b9f6f8d4d                    0         0         0       4d4h
kube-system       coredns-6486f97dcb                                    2         2         2       4d6h
kube-system       coredns-76f75df574                                    0         0         0       13d
longhorn-system   csi-attacher-777966c964                               3         3         3       13d
longhorn-system   csi-provisioner-66cf876fb7                            3         3         3       13d
longhorn-system   csi-resizer-7684559497                                3         3         3       13d
longhorn-system   csi-snapshotter-7fbfd46694                            3         3         3       13d
longhorn-system   longhorn-driver-deployer-5f9c4bc5d4                   0         0         0       13d
longhorn-system   longhorn-driver-deployer-6455f564cd                   0         0         0       13d
longhorn-system   longhorn-driver-deployer-f77846648                    1         1         1       2d20h
longhorn-system   longhorn-ui-765655d4f8                                2         2         2       13d
observability     grafana-547f7cbd9c                                    0         0         0       4d3h
observability     grafana-558fdf6b45                                    0         0         0       4d3h
observability     grafana-574cbb649b                                    0         0         0       4d4h
observability     grafana-57f6d7b555                                    0         0         0       4d3h
observability     grafana-5b46498d8d                                    0         0         0       4d4h
observability     grafana-5bff4f8f7f                                    0         0         0       4d4h
observability     grafana-65d8dd94b5                                    0         0         0       4d2h
observability     grafana-6bb5ff5658                                    0         0         0       4d3h
observability     grafana-6f794894d7                                    0         0         0       4d2h
observability     grafana-7565bf5                                       0         0         0       2d15h
observability     grafana-75867d566f                                    0         0         0       4d4h
observability     jaeger-5dcdc6885b                                     0         0         0       4d11h
observability     jaeger-fcb8c7d9b                                      1         1         1       2d15h
observability     kube-prometheus-stack-kube-state-metrics-66f7dfdb5c   0         0         0       2d14h
observability     kube-prometheus-stack-kube-state-metrics-75f8c89c97   0         0         0       2d14h
observability     kube-prometheus-stack-kube-state-metrics-79cc7587b6   0         0         0       6h55m
observability     kube-prometheus-stack-kube-state-metrics-7bf8bf9d6b   0         0         0       5d10h
observability     kube-prometheus-stack-kube-state-metrics-9d9d6fb8c    0         0         0       2d15h
observability     kube-prometheus-stack-operator-54bb57c8fd             0         0         0       2d15h
observability     kube-prometheus-stack-operator-58fbc574f4             0         0         0       2d14h
observability     kube-prometheus-stack-operator-64495bd6bb             0         0         0       2d14h
observability     kube-prometheus-stack-operator-649cf68c68             0         0         0       6h55m
observability     kube-prometheus-stack-operator-687ddc5b7c             0         0         0       5d10h
observability     kube-prometheus-stack-operator-768867cc4f             0         0         0       4d8h
observability     loki-gateway-568ff97767                               0         0         0       2d15h
observability     loki-gateway-6c79ff8587                               0         0         0       4d13h
observability     otel-collector-opentelemetry-collector-69d79964d8     1         1         1       2d15h
observability     otel-collector-opentelemetry-collector-6dc474868b     0         0         0       4d9h
observability     otel-collector-opentelemetry-collector-b795c5f94      0         0         0       4d9h
persistence       persistence-writer-5764c96bcc                         0         0         0       9d
persistence       persistence-writer-57b68f8747                         0         0         0       9d
persistence       persistence-writer-58654fd766                         0         0         0       9d
persistence       persistence-writer-5f55954585                         0         0         0       9d
persistence       persistence-writer-66df4d67cf                         0         0         0       9d
persistence       persistence-writer-675f5ccdb                          0         0         0       9d
persistence       persistence-writer-6fd8bfd48c                         0         0         0       9d
persistence       persistence-writer-798cf44d57                         0         0         0       9d
persistence       persistence-writer-7d84d6f984                         1         1         1       6h55m
