NAMESPACE         NAME                         READY   UP-TO-DATE   AVAILABLE   AGE
database          timescaledb                  1/1     1            1           2d7h
execution         smart-order-router           1/1     1            1           29h
kube-system       calico-kube-controllers      1/1     1            1           3d15h
kube-system       coredns                      2/2     2            2           3d15h
kube-system       metrics-server               1/1     1            1           2d8h
longhorn-system   csi-attacher                 3/3     3            3           3d15h
longhorn-system   csi-provisioner              3/3     3            3           3d15h
longhorn-system   csi-resizer                  3/3     3            3           3d15h
longhorn-system   csi-snapshotter              3/3     3            3           3d15h
longhorn-system   longhorn-driver-deployer     1/1     1            1           3d15h
longhorn-system   longhorn-ui                  2/2     2            2           3d15h
market-data       feature-store-service        1/1     1            1           2d7h
market-data       historical-data-service      1/1     1            1           2d7h
market-data       market-data-ingestion        1/1     1            1           2d9h
market-data       market-data-normalizer       1/1     1            1           2d8h
market-data       market-data-persistence      0/1     1            0           2d7h
market-data       synthetic-market-generator   1/1     1            1           47h
n8n               n8n                          1/1     1            1           15h
platform          audit-service                1/1     1            1           3d3h
platform          config-service               1/1     1            1           3d3h
platform          config-snapshot-service      1/1     1            1           3d3h
platform          event-ingestion-service      1/1     1            1           3d3h
platform          identity-service             1/1     1            1           3d3h
platform          operational-api              1/1     1            1           15h
platform          trading-dashboard            1/1     1            1           15h
platform          websocket-gateway            1/1     1            1           15h
research          hub                          1/1     1            1           2d6h
research          mlflow                       1/1     1            1           2d2h
research          proxy                        1/1     1            1           2d6h
research          user-scheduler               2/2     2            2           2d6h
trading-infra     broker-adapter-service       1/1     1            1           28h
trading-infra     copy-trade-engine            1/1     1            1           28h
trading-infra     ems                          1/1     1            1           28h
trading-infra     fill-handler-service         1/1     1            1           28h
trading-infra     oms                          1/1     1            1           29h
trading-infra     reconciliation-service       1/1     1            1           28h
