NAME              STATUS   AGE     LABELS
database          Active   2d7h    kubernetes.io/metadata.name=database
default           Active   3d15h   kubernetes.io/metadata.name=default
execution         Active   30h     governance.core/domain=execution,governance.core/runtime=governed,governance.core/stage=16,governance.core/type=broker-connectivity,kubernetes.io/metadata.name=execution
kafka             Active   3d1h    kubernetes.io/metadata.name=kafka,platform.core/domain=kafka,platform.core/governance=authoritative,platform.core/replay-safe=true
kube-node-lease   Active   3d15h   kubernetes.io/metadata.name=kube-node-lease
kube-public       Active   3d15h   kubernetes.io/metadata.name=kube-public
kube-system       Active   3d15h   kubernetes.io/metadata.name=kube-system
longhorn-system   Active   3d15h   kubernetes.io/metadata.name=longhorn-system
market-data       Active   3d1h    kubernetes.io/metadata.name=market-data
monitoring        Active   2d8h    kubernetes.io/metadata.name=monitoring
n8n               Active   23h     governance.core/domain=workflow-automation,governance.core/stage=18,governance.core/type=automation-runtime,kubernetes.io/metadata.name=n8n
platform          Active   3d9h    governance.core/domain=ui-operations,governance.core/stage=18,governance.core/type=platform-runtime,kubernetes.io/metadata.name=platform
research          Active   2d6h    kubernetes.io/metadata.name=research
trading-infra     Active   30h     governance.core/domain=trading-infra,governance.core/runtime=governed,governance.core/stage=16,governance.core/type=broker-connectivity,kubernetes.io/metadata.name=trading-infra
