NAME              STATUS   AGE
auth              Active   27h
cert-manager      Active   22m
cicd              Active   27h
default           Active   27h
execution         Active   27h
istio-system      Active   27h
kafka             Active   27h
kube-node-lease   Active   27h
kube-public       Active   27h
kube-system       Active   27h
logging           Active   27h
longhorn-system   Active   26h
market-data       Active   27h
monitoring        Active   27h
n8n               Active   27h
platform          Active   27h
portfolio         Active   27h
registry          Active   27h
storage           Active   27h
strategy          Active   27h
tracing           Active   27h
trading-infra     Active   27h
vault             Active   27h
