NAME                	URL
bitnami             	https://charts.bitnami.com/bitnami
prometheus-community	https://prometheus-community.github.io/helm-charts
grafana             	https://grafana.github.io/helm-charts
codecentric         	https://codecentric.github.io/helm-charts
hashicorp           	https://helm.releases.hashicorp.com
ingress-nginx       	https://kubernetes.github.io/ingress-nginx
strimzi             	https://strimzi.io/charts/
metallb             	https://metallb.github.io/metallb
longhorn            	https://charts.longhorn.io
kong                	https://charts.konghq.com
jetstack            	https://charts.jetstack.io
falcosecurity       	https://falcosecurity.github.io/charts
