NAMESPACE       NAME                                                                                                   STATUS   VOLUME                                     CAPACITY   ACCESS MODES   STORAGECLASS   VOLUMEATTRIBUTESCLASS   AGE
cicd            data-harbor-redis-0                                                                                    Bound    pvc-11289fb2-ea28-4cad-a921-fa2c88e88ae0   5Gi        RWO            longhorn       <unset>                 3d15h
cicd            data-harbor-trivy-0                                                                                    Bound    pvc-992cf6d7-8221-4771-b86d-7c8458f50673   5Gi        RWO            longhorn       <unset>                 3d15h
cicd            database-data-harbor-database-0                                                                        Bound    pvc-e596eda2-a10a-4a41-9d40-97136c33d427   10Gi       RWO            longhorn       <unset>                 3d15h
cicd            harbor-jobservice                                                                                      Bound    pvc-b7b0663b-b364-4b0d-810b-ee791ebdfa9e   5Gi        RWO            longhorn       <unset>                 3d15h
cicd            harbor-registry                                                                                        Bound    pvc-87acd5d6-dbc4-4591-969f-bf7d9d6d0b9b   50Gi       RWO            longhorn       <unset>                 3d15h
kafka           kafka-data-kafka-broker-0                                                                              Bound    pvc-e2334554-1ad8-4880-a942-d97ccfbea3c8   20Gi       RWO            longhorn       <unset>                 11d
observability   alertmanager-kube-prometheus-stack-alertmanager-db-alertmanager-kube-prometheus-stack-alertmanager-0   Bound    pvc-0139a578-bf79-4434-85eb-e644aa920326   10Gi       RWO            longhorn       <unset>                 4d7h
observability   prometheus-kube-prometheus-stack-prometheus-db-prometheus-kube-prometheus-stack-prometheus-0           Bound    pvc-31a688a4-ea90-436d-9fdc-37592b685830   50Gi       RWO            longhorn       <unset>                 4d8h
observability   storage-loki-0                                                                                         Bound    pvc-4bfdc47d-5596-455b-af1d-5edb4aab1020   10Gi       RWO            longhorn       <unset>                 4d7h
storage         postgres-storage-postgres-0                                                                            Bound    pvc-c504bc40-202f-492f-96a8-c6a6026a1232   20Gi       RWO            longhorn       <unset>                 10d
storage         redis-storage-redis-0                                                                                  Bound    pvc-ccf5280e-88f6-4b0e-bb03-e61482b30f0a   5Gi        RWO            longhorn       <unset>                 9d
storage         timescaledb-storage-timescaledb-0                                                                      Bound    pvc-01f275e9-2c71-4376-9c3e-7ab2f728aa09   5Gi        RWO            longhorn       <unset>                 9d
vault           data-vault-0                                                                                           Bound    pvc-b2a35877-6350-4ccb-a31e-2bd7335bcd2d   10Gi       RWO            longhorn       <unset>                 12d
