NAMESPACE         NAME                                             TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                                                                                              AGE
auth              keycloak                                         ClusterIP      10.97.62.46      <none>        8080/TCP                                                                                                                             11d
auth              keycloak-postgres                                ClusterIP      10.108.194.170   <none>        5432/TCP                                                                                                                             11d
cert-manager      cert-manager                                     ClusterIP      10.110.69.45     <none>        9402/TCP                                                                                                                             11d
cert-manager      cert-manager-cainjector                          ClusterIP      10.104.27.105    <none>        9402/TCP                                                                                                                             11d
cert-manager      cert-manager-webhook                             ClusterIP      10.105.150.171   <none>        443/TCP,9402/TCP                                                                                                                     11d
cicd              argocd-applicationset-controller                 ClusterIP      10.101.32.91     <none>        7000/TCP                                                                                                                             2d15h
cicd              argocd-dex-server                                ClusterIP      10.107.247.253   <none>        5556/TCP,5557/TCP                                                                                                                    2d15h
cicd              argocd-redis                                     ClusterIP      10.102.48.84     <none>        6379/TCP                                                                                                                             2d15h
cicd              argocd-repo-server                               ClusterIP      10.99.158.113    <none>        8081/TCP                                                                                                                             2d15h
cicd              argocd-server                                    ClusterIP      10.110.39.234    <none>        80/TCP,443/TCP                                                                                                                       2d15h
cicd              harbor-core                                      ClusterIP      10.103.122.34    <none>        80/TCP                                                                                                                               3d15h
cicd              harbor-database                                  ClusterIP      10.107.188.60    <none>        5432/TCP                                                                                                                             3d15h
cicd              harbor-jobservice                                ClusterIP      10.108.75.143    <none>        80/TCP                                                                                                                               3d15h
cicd              harbor-portal                                    ClusterIP      10.98.139.98     <none>        80/TCP                                                                                                                               3d15h
cicd              harbor-redis                                     ClusterIP      10.110.247.239   <none>        6379/TCP                                                                                                                             3d15h
cicd              harbor-registry                                  ClusterIP      10.97.140.61     <none>        5000/TCP,8080/TCP                                                                                                                    3d15h
cicd              harbor-trivy                                     ClusterIP      10.98.118.148    <none>        8080/TCP                                                                                                                             3d15h
default           kubernetes                                       ClusterIP      10.96.0.1        <none>        443/TCP                                                                                                                              12d
istio-system      istio-ingressgateway                             LoadBalancer   10.104.219.87    <pending>     15021:30353/TCP,80:32550/TCP,443:30675/TCP                                                                                           11d
istio-system      istiod                                           ClusterIP      10.109.135.81    <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP                                                                                                11d
kafka             kafka                                            ClusterIP      None             <none>        9092/TCP,9093/TCP                                                                                                                    11d
kafka             schema-registry                                  ClusterIP      10.102.252.240   <none>        8081/TCP                                                                                                                             11d
kube-system       kube-dns                                         ClusterIP      10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP                                                                                                               12d
kube-system       kube-prometheus-stack-coredns                    ClusterIP      None             <none>        9153/TCP                                                                                                                             5d3h
kube-system       kube-prometheus-stack-kube-controller-manager    ClusterIP      None             <none>        10257/TCP                                                                                                                            5d3h
kube-system       kube-prometheus-stack-kube-etcd                  ClusterIP      None             <none>        2381/TCP                                                                                                                             5d3h
kube-system       kube-prometheus-stack-kube-proxy                 ClusterIP      None             <none>        10249/TCP                                                                                                                            5d3h
kube-system       kube-prometheus-stack-kube-scheduler             ClusterIP      None             <none>        10259/TCP                                                                                                                            5d3h
kube-system       kube-prometheus-stack-kubelet                    ClusterIP      None             <none>        10250/TCP,4194/TCP,10255/TCP                                                                                                         5d3h
longhorn-system   longhorn-admission-webhook                       ClusterIP      10.110.40.11     <none>        9502/TCP                                                                                                                             12d
longhorn-system   longhorn-backend                                 ClusterIP      10.109.92.109    <none>        9500/TCP                                                                                                                             12d
longhorn-system   longhorn-frontend                                ClusterIP      10.103.193.88    <none>        80/TCP                                                                                                                               12d
longhorn-system   longhorn-recovery-backend                        ClusterIP      10.99.12.172     <none>        9503/TCP                                                                                                                             12d
observability     alertmanager-operated                            ClusterIP      None             <none>        9093/TCP,9094/TCP,9094/UDP                                                                                                           5d3h
observability     grafana                                          ClusterIP      10.106.244.80    <none>        80/TCP                                                                                                                               4d7h
observability     jaeger                                           ClusterIP      10.99.99.119     <none>        5775/UDP,5778/TCP,6831/UDP,6832/UDP,9411/TCP,14250/TCP,14267/TCP,14268/TCP,4317/TCP,4318/TCP,16686/TCP,16685/TCP,8888/TCP,8889/TCP   4d4h
observability     kube-prometheus-stack-alertmanager               ClusterIP      10.103.152.84    <none>        9093/TCP,8080/TCP                                                                                                                    5d3h
observability     kube-prometheus-stack-kube-state-metrics         ClusterIP      10.99.184.98     <none>        8080/TCP                                                                                                                             5d3h
observability     kube-prometheus-stack-operator                   ClusterIP      10.98.136.97     <none>        443/TCP                                                                                                                              5d3h
observability     kube-prometheus-stack-prometheus                 ClusterIP      10.101.243.33    <none>        9090/TCP,8080/TCP                                                                                                                    5d3h
observability     kube-prometheus-stack-prometheus-node-exporter   ClusterIP      10.107.145.165   <none>        9100/TCP                                                                                                                             5d3h
